StartTime,EndTime,AreaID,UnitName,PsrType,quantity
2021-12-31T23:00+00:00Z,2022-01-01T00:00+00:00Z,10YES-REE------0,MAW,B04,3874
2022-01-01T00:00+00:00Z,2022-01-01T01:00+00:00Z,10YES-REE------0,MAW,B04,3557
2022-01-01T01:00+00:00Z,2022-01-01T02:00+00:00Z,10YES-REE------0,MAW,B04,3590
2022-01-01T02:00+00:00Z,2022-01-01T03:00+00:00Z,10YES-REE------0,MAW,B04,3444
2022-01-01T03:00+00:00Z,2022-01-01T04:00+00:00Z,10YES-REE------0,MAW,B04,3446
2022-01-01T04:00+00:00Z,2022-01-01T05:00+00:00Z,10YES-REE------0,MAW,B04,3651
2022-01-01T05:00+00:00Z,2022-01-01T06:00+00:00Z,10YES-REE------0,MAW,B04,3847
2022-01-01T06:00+00:00Z,2022-01-01T07:00+00:00Z,10YES-REE------0,MAW,B04,3737
2022-01-01T07:00+00:00Z,2022-01-01T08:00+00:00Z,10YES-REE------0,MAW,B04,3591
2022-01-01T08:00+00:00Z,2022-01-01T09:00+00:00Z,10YES-REE------0,MAW,B04,3304
2022-01-01T09:00+00:00Z,2022-01-01T10:00+00:00Z,10YES-REE------0,MAW,B04,3263
2022-01-01T10:00+00:00Z,2022-01-01T11:00+00:00Z,10YES-REE------0,MAW,B04,3300
2022-01-01T11:00+00:00Z,2022-01-01T12:00+00:00Z,10YES-REE------0,MAW,B04,3524
2022-01-01T12:00+00:00Z,2022-01-01T13:00+00:00Z,10YES-REE------0,MAW,B04,3849
2022-01-01T13:00+00:00Z,2022-01-01T14:00+00:00Z,10YES-REE------0,MAW,B04,3503
2022-01-01T14:00+00:00Z,2022-01-01T15:00+00:00Z,10YES-REE------0,MAW,B04,3687
2022-01-01T15:00+00:00Z,2022-01-01T16:00+00:00Z,10YES-REE------0,MAW,B04,3630
2022-01-01T16:00+00:00Z,2022-01-01T17:00+00:00Z,10YES-REE------0,MAW,B04,4064
2022-01-01T17:00+00:00Z,2022-01-01T18:00+00:00Z,10YES-REE------0,MAW,B04,4436
2022-01-01T18:00+00:00Z,2022-01-01T19:00+00:00Z,10YES-REE------0,MAW,B04,4376
2022-01-01T19:00+00:00Z,2022-01-01T20:00+00:00Z,10YES-REE------0,MAW,B04,4480
2022-01-01T20:00+00:00Z,2022-01-01T21:00+00:00Z,10YES-REE------0,MAW,B04,4197
2022-01-01T21:00+00:00Z,2022-01-01T22:00+00:00Z,10YES-REE------0,MAW,B04,4016
2022-01-01T22:00+00:00Z,2022-01-01T23:00+00:00Z,10YES-REE------0,MAW,B04,3874
