StartTime,EndTime,AreaID,UnitName,PsrType,quantity
2022-03-23T23:00+00:00Z,2022-03-24T00:00+00:00Z,10YPL-AREA-----S,MAW,B12,0
2022-03-24T00:00+00:00Z,2022-03-24T01:00+00:00Z,10YPL-AREA-----S,MAW,B12,0
2022-03-24T01:00+00:00Z,2022-03-24T02:00+00:00Z,10YPL-AREA-----S,MAW,B12,0
2022-03-24T02:00+00:00Z,2022-03-24T03:00+00:00Z,10YPL-AREA-----S,MAW,B12,0
2022-03-24T03:00+00:00Z,2022-03-24T04:00+00:00Z,10YPL-AREA-----S,MAW,B12,50
2022-03-24T04:00+00:00Z,2022-03-24T05:00+00:00Z,10YPL-AREA-----S,MAW,B12,57
2022-03-24T05:00+00:00Z,2022-03-24T06:00+00:00Z,10YPL-AREA-----S,MAW,B12,7
2022-03-24T06:00+00:00Z,2022-03-24T07:00+00:00Z,10YPL-AREA-----S,MAW,B12,0
2022-03-24T07:00+00:00Z,2022-03-24T08:00+00:00Z,10YPL-AREA-----S,MAW,B12,0
2022-03-24T08:00+00:00Z,2022-03-24T09:00+00:00Z,10YPL-AREA-----S,MAW,B12,0
2022-03-24T09:00+00:00Z,2022-03-24T10:00+00:00Z,10YPL-AREA-----S,MAW,B12,0
2022-03-24T10:00+00:00Z,2022-03-24T11:00+00:00Z,10YPL-AREA-----S,MAW,B12,0
2022-03-24T11:00+00:00Z,2022-03-24T12:00+00:00Z,10YPL-AREA-----S,MAW,B12,0
2022-03-24T12:00+00:00Z,2022-03-24T13:00+00:00Z,10YPL-AREA-----S,MAW,B12,0
2022-03-24T13:00+00:00Z,2022-03-24T14:00+00:00Z,10YPL-AREA-----S,MAW,B12,0
2022-03-24T14:00+00:00Z,2022-03-24T15:00+00:00Z,10YPL-AREA-----S,MAW,B12,0
2022-03-24T15:00+00:00Z,2022-03-24T16:00+00:00Z,10YPL-AREA-----S,MAW,B12,0
2022-03-24T16:00+00:00Z,2022-03-24T17:00+00:00Z,10YPL-AREA-----S,MAW,B12,50
2022-03-24T17:00+00:00Z,2022-03-24T18:00+00:00Z,10YPL-AREA-----S,MAW,B12,57
2022-03-24T18:00+00:00Z,2022-03-24T19:00+00:00Z,10YPL-AREA-----S,MAW,B12,7
2022-03-24T19:00+00:00Z,2022-03-24T20:00+00:00Z,10YPL-AREA-----S,MAW,B12,0
2022-03-24T20:00+00:00Z,2022-03-24T21:00+00:00Z,10YPL-AREA-----S,MAW,B12,0
2022-03-24T21:00+00:00Z,2022-03-24T22:00+00:00Z,10YPL-AREA-----S,MAW,B12,0
2022-03-24T22:00+00:00Z,2022-03-24T23:00+00:00Z,10YPL-AREA-----S,MAW,B12,0
