StartTime,EndTime,AreaID,UnitName,PsrType,quantity
2021-12-31T23:00+00:00Z,2022-01-01T00:00+00:00Z,10YSE-1--------K,MAW,B19,4045
2022-01-01T00:00+00:00Z,2022-01-01T01:00+00:00Z,10YSE-1--------K,MAW,B19,4021
2022-01-01T01:00+00:00Z,2022-01-01T02:00+00:00Z,10YSE-1--------K,MAW,B19,3948
2022-01-01T02:00+00:00Z,2022-01-01T03:00+00:00Z,10YSE-1--------K,MAW,B19,3763
2022-01-01T03:00+00:00Z,2022-01-01T04:00+00:00Z,10YSE-1--------K,MAW,B19,3597
2022-01-01T04:00+00:00Z,2022-01-01T05:00+00:00Z,10YSE-1--------K,MAW,B19,3355
2022-01-01T05:00+00:00Z,2022-01-01T06:00+00:00Z,10YSE-1--------K,MAW,B19,3135
2022-01-01T06:00+00:00Z,2022-01-01T07:00+00:00Z,10YSE-1--------K,MAW,B19,2937
2022-01-01T07:00+00:00Z,2022-01-01T08:00+00:00Z,10YSE-1--------K,MAW,B19,2713
2022-01-01T08:00+00:00Z,2022-01-01T09:00+00:00Z,10YSE-1--------K,MAW,B19,2441
2022-01-01T09:00+00:00Z,2022-01-01T10:00+00:00Z,10YSE-1--------K,MAW,B19,2141
2022-01-01T10:00+00:00Z,2022-01-01T11:00+00:00Z,10YSE-1--------K,MAW,B19,1894
2022-01-01T11:00+00:00Z,2022-01-01T12:00+00:00Z,10YSE-1--------K,MAW,B19,1770
2022-01-01T12:00+00:00Z,2022-01-01T13:00+00:00Z,10YSE-1--------K,MAW,B19,1723
2022-01-01T13:00+00:00Z,2022-01-01T14:00+00:00Z,10YSE-1--------K,MAW,B19,1803
2022-01-01T14:00+00:00Z,2022-01-01T15:00+00:00Z,10YSE-1--------K,MAW,B19,2043
2022-01-01T15:00+00:00Z,2022-01-01T16:00+00:00Z,10YSE-1--------K,MAW,B19,2459
2022-01-01T16:00+00:00Z,2022-01-01T17:00+00:00Z,10YSE-1--------K,MAW,B19,2985
2022-01-01T17:00+00:00Z,2022-01-01T18:00+00:00Z,10YSE-1--------K,MAW,B19,3450
2022-01-01T18:00+00:00Z,2022-01-01T19:00+00:00Z,10YSE-1--------K,MAW,B19,4114
2022-01-01T19:00+00:00Z,2022-01-01T20:00+00:00Z,10YSE-1--------K,MAW,B19,4848
2022-01-01T20:00+00:00Z,2022-01-01T21:00+00:00Z,10YSE-1--------K,MAW,B19,5364
2022-01-01T21:00+00:00Z,2022-01-01T22:00+00:00Z,10YSE-1--------K,MAW,B19,5716
2022-01-01T22:00+00:00Z,2022-01-01T23:00+00:00Z,10YSE-1--------K,MAW,B19,6177
