StartTime,EndTime,AreaID,UnitName,PsrType,quantity
2022-01-01T23:45+00:00Z,2022-01-02T00:00+00:00Z,10YNL----------L,MAW,B05,1727
2022-01-02T00:00+00:00Z,2022-01-02T00:15+00:00Z,10YNL----------L,MAW,B05,1727
2022-01-02T00:15+00:00Z,2022-01-02T00:30+00:00Z,10YNL----------L,MAW,B05,1689
2022-01-02T00:30+00:00Z,2022-01-02T00:45+00:00Z,10YNL----------L,MAW,B05,1677
2022-01-02T00:45+00:00Z,2022-01-02T01:00+00:00Z,10YNL----------L,MAW,B05,1664
2022-01-02T01:00+00:00Z,2022-01-02T01:15+00:00Z,10YNL----------L,MAW,B05,1672
2022-01-02T01:15+00:00Z,2022-01-02T01:30+00:00Z,10YNL----------L,MAW,B05,1664
2022-01-02T01:30+00:00Z,2022-01-02T01:45+00:00Z,10YNL----------L,MAW,B05,1626
2022-01-02T01:45+00:00Z,2022-01-02T02:00+00:00Z,10YNL----------L,MAW,B05,1548
2022-01-02T02:00+00:00Z,2022-01-02T02:15+00:00Z,10YNL----------L,MAW,B05,1537
2022-01-02T02:15+00:00Z,2022-01-02T02:30+00:00Z,10YNL----------L,MAW,B05,1544
2022-01-02T02:30+00:00Z,2022-01-02T02:45+00:00Z,10YNL----------L,MAW,B05,1552
2022-01-02T02:45+00:00Z,2022-01-02T03:00+00:00Z,10YNL----------L,MAW,B05,1514
2022-01-02T03:00+00:00Z,2022-01-02T03:15+00:00Z,10YNL----------L,MAW,B05,1447
2022-01-02T03:15+00:00Z,2022-01-02T03:30+00:00Z,10YNL----------L,MAW,B05,1473
2022-01-02T03:30+00:00Z,2022-01-02T03:45+00:00Z,10YNL----------L,MAW,B05,1495
2022-01-02T03:45+00:00Z,2022-01-02T04:00+00:00Z,10YNL----------L,MAW,B05,1506
2022-01-02T04:00+00:00Z,2022-01-02T04:15+00:00Z,10YNL----------L,MAW,B05,1492
2022-01-02T04:15+00:00Z,2022-01-02T04:30+00:00Z,10YNL----------L,MAW,B05,1479
2022-01-02T04:30+00:00Z,2022-01-02T04:45+00:00Z,10YNL----------L,MAW,B05,1488
2022-01-02T04:45+00:00Z,2022-01-02T05:00+00:00Z,10YNL----------L,MAW,B05,1483
2022-01-02T05:00+00:00Z,2022-01-02T05:15+00:00Z,10YNL----------L,MAW,B05,1483
2022-01-02T05:15+00:00Z,2022-01-02T05:30+00:00Z,10YNL----------L,MAW,B05,1484
2022-01-02T05:30+00:00Z,2022-01-02T05:45+00:00Z,10YNL----------L,MAW,B05,1471
2022-01-02T05:45+00:00Z,2022-01-02T06:00+00:00Z,10YNL----------L,MAW,B05,1466
2022-01-02T06:00+00:00Z,2022-01-02T06:15+00:00Z,10YNL----------L,MAW,B05,1467
2022-01-02T06:15+00:00Z,2022-01-02T06:30+00:00Z,10YNL----------L,MAW,B05,1497
2022-01-02T06:30+00:00Z,2022-01-02T06:45+00:00Z,10YNL----------L,MAW,B05,1505
2022-01-02T06:45+00:00Z,2022-01-02T07:00+00:00Z,10YNL----------L,MAW,B05,1531
2022-01-02T07:00+00:00Z,2022-01-02T07:15+00:00Z,10YNL----------L,MAW,B05,1568
2022-01-02T07:15+00:00Z,2022-01-02T07:30+00:00Z,10YNL----------L,MAW,B05,1584
2022-01-02T07:30+00:00Z,2022-01-02T07:45+00:00Z,10YNL----------L,MAW,B05,1599
2022-01-02T07:45+00:00Z,2022-01-02T08:00+00:00Z,10YNL----------L,MAW,B05,1607
2022-01-02T08:00+00:00Z,2022-01-02T08:15+00:00Z,10YNL----------L,MAW,B05,1621
2022-01-02T08:15+00:00Z,2022-01-02T08:30+00:00Z,10YNL----------L,MAW,B05,1648
2022-01-02T08:30+00:00Z,2022-01-02T08:45+00:00Z,10YNL----------L,MAW,B05,1657
2022-01-02T08:45+00:00Z,2022-01-02T09:00+00:00Z,10YNL----------L,MAW,B05,1672
2022-01-02T09:00+00:00Z,2022-01-02T09:15+00:00Z,10YNL----------L,MAW,B05,1673
2022-01-02T09:15+00:00Z,2022-01-02T09:30+00:00Z,10YNL----------L,MAW,B05,1665
2022-01-02T09:30+00:00Z,2022-01-02T09:45+00:00Z,10YNL----------L,MAW,B05,1672
2022-01-02T09:45+00:00Z,2022-01-02T10:00+00:00Z,10YNL----------L,MAW,B05,1674
2022-01-02T10:00+00:00Z,2022-01-02T10:15+00:00Z,10YNL----------L,MAW,B05,1679
2022-01-02T10:15+00:00Z,2022-01-02T10:30+00:00Z,10YNL----------L,MAW,B05,1672
2022-01-02T10:30+00:00Z,2022-01-02T10:45+00:00Z,10YNL----------L,MAW,B05,1664
2022-01-02T10:45+00:00Z,2022-01-02T11:00+00:00Z,10YNL----------L,MAW,B05,1666
2022-01-02T11:00+00:00Z,2022-01-02T11:15+00:00Z,10YNL----------L,MAW,B05,1668
2022-01-02T11:15+00:00Z,2022-01-02T11:30+00:00Z,10YNL----------L,MAW,B05,1663
2022-01-02T11:30+00:00Z,2022-01-02T11:45+00:00Z,10YNL----------L,MAW,B05,1664
2022-01-02T11:45+00:00Z,2022-01-02T12:00+00:00Z,10YNL----------L,MAW,B05,1663
2022-01-02T12:00+00:00Z,2022-01-02T12:15+00:00Z,10YNL----------L,MAW,B05,1662
2022-01-02T12:15+00:00Z,2022-01-02T12:30+00:00Z,10YNL----------L,MAW,B05,1663
2022-01-02T12:30+00:00Z,2022-01-02T12:45+00:00Z,10YNL----------L,MAW,B05,1664
2022-01-02T12:45+00:00Z,2022-01-02T13:00+00:00Z,10YNL----------L,MAW,B05,1671
2022-01-02T13:00+00:00Z,2022-01-02T13:15+00:00Z,10YNL----------L,MAW,B05,1691
2022-01-02T13:15+00:00Z,2022-01-02T13:30+00:00Z,10YNL----------L,MAW,B05,1707
2022-01-02T13:30+00:00Z,2022-01-02T13:45+00:00Z,10YNL----------L,MAW,B05,1702
2022-01-02T13:45+00:00Z,2022-01-02T14:00+00:00Z,10YNL----------L,MAW,B05,1699
