StartTime,EndTime,AreaID,UnitName,PsrType,quantity
2021-12-31T23:00+00:00Z,2022-01-01T00:00+00:00Z,10YPL-AREA-----S,MAW,B10,0
2022-01-01T00:00+00:00Z,2022-01-01T01:00+00:00Z,10YPL-AREA-----S,MAW,B10,0
2022-01-01T01:00+00:00Z,2022-01-01T02:00+00:00Z,10YPL-AREA-----S,MAW,B10,0
2022-01-01T02:00+00:00Z,2022-01-01T03:00+00:00Z,10YPL-AREA-----S,MAW,B10,0
2022-01-01T03:00+00:00Z,2022-01-01T04:00+00:00Z,10YPL-AREA-----S,MAW,B10,0
2022-01-01T04:00+00:00Z,2022-01-01T05:00+00:00Z,10YPL-AREA-----S,MAW,B10,0
2022-01-01T05:00+00:00Z,2022-01-01T06:00+00:00Z,10YPL-AREA-----S,MAW,B10,0
2022-01-01T06:00+00:00Z,2022-01-01T07:00+00:00Z,10YPL-AREA-----S,MAW,B10,0
2022-01-01T07:00+00:00Z,2022-01-01T08:00+00:00Z,10YPL-AREA-----S,MAW,B10,34
2022-01-01T08:00+00:00Z,2022-01-01T09:00+00:00Z,10YPL-AREA-----S,MAW,B10,22
2022-01-01T09:00+00:00Z,2022-01-01T10:00+00:00Z,10YPL-AREA-----S,MAW,B10,3
2022-01-01T10:00+00:00Z,2022-01-01T11:00+00:00Z,10YPL-AREA-----S,MAW,B10,0
2022-01-01T11:00+00:00Z,2022-01-01T12:00+00:00Z,10YPL-AREA-----S,MAW,B10,4
2022-01-01T12:00+00:00Z,2022-01-01T13:00+00:00Z,10YPL-AREA-----S,MAW,B10,15
2022-01-01T13:00+00:00Z,2022-01-01T14:00+00:00Z,10YPL-AREA-----S,MAW,B10,152
2022-01-01T14:00+00:00Z,2022-01-01T15:00+00:00Z,10YPL-AREA-----S,MAW,B10,395
2022-01-01T15:00+00:00Z,2022-01-01T16:00+00:00Z,10YPL-AREA-----S,MAW,B10,779
2022-01-01T16:00+00:00Z,2022-01-01T17:00+00:00Z,10YPL-AREA-----S,MAW,B10,744
2022-01-01T17:00+00:00Z,2022-01-01T18:00+00:00Z,10YPL-AREA-----S,MAW,B10,793
2022-01-01T18:00+00:00Z,2022-01-01T19:00+00:00Z,10YPL-AREA-----S,MAW,B10,764
2022-01-01T19:00+00:00Z,2022-01-01T20:00+00:00Z,10YPL-AREA-----S,MAW,B10,504
2022-01-01T20:00+00:00Z,2022-01-01T21:00+00:00Z,10YPL-AREA-----S,MAW,B10,422
2022-01-01T21:00+00:00Z,2022-01-01T22:00+00:00Z,10YPL-AREA-----S,MAW,B10,70
2022-01-01T22:00+00:00Z,2022-01-01T23:00+00:00Z,10YPL-AREA-----S,MAW,B10,0
