StartTime,EndTime,AreaID,UnitName,PsrType,quantity
2022-01-30T00:30+00:00Z,2022-01-30T01:00+00:00Z,10Y1001A1001A92E,MAW,B06,0
2022-01-30T01:00+00:00Z,2022-01-30T01:30+00:00Z,10Y1001A1001A92E,MAW,B06,0
2022-01-30T06:30+00:00Z,2022-01-30T07:00+00:00Z,10Y1001A1001A92E,MAW,B06,0
2022-01-30T07:00+00:00Z,2022-01-30T07:30+00:00Z,10Y1001A1001A92E,MAW,B06,0
2022-01-30T18:30+00:00Z,2022-01-30T19:00+00:00Z,10Y1001A1001A92E,MAW,B06,0
2022-01-30T19:00+00:00Z,2022-01-30T19:30+00:00Z,10Y1001A1001A92E,MAW,B06,0
2022-01-30T00:30+00:00Z,2022-01-30T01:00+00:00Z,,MAW,B06,0
2022-01-30T01:00+00:00Z,2022-01-30T01:30+00:00Z,,MAW,B06,0
2022-01-30T06:30+00:00Z,2022-01-30T07:00+00:00Z,,MAW,B06,0
2022-01-30T07:00+00:00Z,2022-01-30T07:30+00:00Z,,MAW,B06,0
2022-01-30T18:30+00:00Z,2022-01-30T19:00+00:00Z,,MAW,B06,0
2022-01-30T19:00+00:00Z,2022-01-30T19:30+00:00Z,,MAW,B06,0
